"","year","series","episode","rating","votes"
"465",1995,"Voyager","Tattoo",6.3,1397
"466",1996,"Voyager","Alliances",7.3,1312
"467",1996,"Voyager","Flashback",7.9,1497
"468",1996,"Voyager","The Chute",6.8,1285
"469",1996,"Voyager","The Swarm",7.3,1262
"470",1996,"Voyager","Warlord",6.8,1304
"471",1997,"Voyager","Fair Trade",6.8,1206
"472",1997,"Voyager","Alter Ego",6.8,1254
"473",1997,"Voyager","Revulsion",7.4,1321
"474",1997,"Voyager","The Raven",7.6,1323
"475",1997,"Voyager","Year Of Hell",8.9,1794
"476",1997,"Voyager","Year Of Hell, Part II",8.8,1698
"477",1997,"Voyager","Random Thoughts",6.9,1258
"478",1998,"Voyager","Waking Moments",7.7,1287
"479",1998,"Voyager","Hunters",7.8,1275
"480",1998,"Voyager","Prey",8.1,1318
"481",1998,"Voyager","The Killing Game, Part II",7.8,1351
"482",1998,"Voyager","Vis À Vis",6.7,1171
"483",1998,"Voyager","Unforgettable",6.4,1276
"484",1998,"Voyager","In The Flesh",7.9,1453
"485",1998,"Voyager","Nothing Human",7.3,1320
"486",1998,"Voyager","Thirty Days",7.3,1282
"487",1999,"Voyager","The Disease",6.8,1277
"488",1999,"Voyager","Think Tank",7.7,1337
"489",1999,"Voyager","11:59",6.6,1310
"490",1999,"Voyager","Barge Of The Dead",6.4,1288
"491",1999,"Voyager","Alice",6.5,1256
"492",1999,"Voyager","Dragon's Teeth",7.7,1286
"493",1999,"Voyager","The Voyager Conspiracy",7.6,1317
"494",2000,"Voyager","Fair Haven",6.3,1323
"495",2000,"Voyager","Tsunkatse",7.2,1310
"496",2000,"Voyager","Live Fast And Prosper",7.3,1189
"497",2000,"Voyager","The Haunting Of Deck Twelve",7.2,1177
"498",2000,"Voyager","Drive",7.2,1200
"499",2000,"Voyager","Repression",6.8,1148
"500",2000,"Voyager","Inside Man",7.5,1188
"501",2001,"Voyager","Q2",7.4,1255
"502",2001,"Voyager","Author, Author",8,1275
"503",1966,"The Original Series","The Man Trap",7.3,4131
"504",1966,"The Original Series","Miri",7,3220
"505",1968,"The Original Series","Spock's Brain",5.7,2525
"506",1968,"The Original Series","The Empath",6.6,2262
"507",1968,"The Original Series","Elaan of Troyius",7.1,2175
"508",1969,"The Original Series","The Mark of Gideon",6.5,2053
"509",1987,"The Next Generation","Lonely Among Us",6.3,2748
"510",1987,"The Next Generation","Justice",6,2950
"511",1987,"The Next Generation","Haven",6.3,2705
"512",1988,"The Next Generation","The Big Goodbye",7.4,2873
"513",1988,"The Next Generation","Angel One",5.7,2730
"514",1988,"The Next Generation","The Arsenal of Freedom",7.2,2627
"515",1988,"The Next Generation","The Outrageous Okona",6.3,2677
"516",1989,"The Next Generation","The Dauphin",6.2,2567
"517",1989,"The Next Generation","The Royale",6.7,2654
"518",1989,"The Next Generation","The Icarus Factor",6.3,2320
"519",1989,"The Next Generation","Pen Pals",6.8,2477
"520",1989,"The Next Generation","Up The Long Ladder",6.3,2503
"521",1989,"The Next Generation","The Price",6.3,2365
"522",1990,"The Next Generation","Ménage à Troi",6.6,2286
"523",1991,"The Next Generation","Qpid",7.3,2395
"524",1992,"The Next Generation","Cost Of Living",6.2,2032
"525",1992,"The Next Generation","Imaginary Friend",6,2065
"526",1992,"The Next Generation","Realm Of Fear",7.3,2108
"527",1992,"The Next Generation","A Fistful of Datas",7.6,2278
"528",1993,"The Next Generation","Liaisons",6.7,1939
"529",1993,"The Next Generation","Force of Nature",6.4,1951
"530",1994,"The Next Generation","Journey's End",6.4,2037
"531",1994,"The Next Generation","Emergence",6.7,1841
"532",1993,"Deep Space Nine","Cardassians",7.6,1593
"533",1994,"Deep Space Nine","Rivals",6.6,1457
"534",1994,"Deep Space Nine","The Alternate",6.8,1453
"535",1994,"Deep Space Nine","Meridian",5.7,1487
"536",1994,"Deep Space Nine","Fascination",6.3,1448
"537",1996,"Deep Space Nine","The Muse",5.7,1390
"538",1996,"Deep Space Nine","Let He Who Is Without Sin...",5.6,1457
"539",1997,"Deep Space Nine","Business As Usual",7.3,1302
"540",1997,"Deep Space Nine","Ties Of Blood And Water",7.3,1277
"541",1996,"Voyager","False Profits",6.7,1380
"542",1997,"Deep Space Nine","Ferengi Love Songs",6.8,1269
"543",1997,"Deep Space Nine","Children Of Time",8.1,1560
"544",1997,"Deep Space Nine","In The Cards",7.9,1388
"545",1997,"Deep Space Nine","Resurrection",5.8,1293
"546",1998,"Deep Space Nine","Honor Among Thieves",7.4,1351
"547",1999,"Deep Space Nine","The Emperor's New Cloak",6.5,1225
"548",1995,"Voyager","Initiations",6.6,1409
"549",1995,"Voyager","Non Sequitur",6.9,1447
"550",1995,"Voyager","Twisted",7.1,1430
"551",1997,"Voyager","Rise",6.9,1217
"552",1997,"Voyager","Favorite Son",6.1,1262
"553",1997,"Voyager","Concerning Flight",6.9,1264
"554",1998,"Voyager","Retrospect",6.8,1302
"555",1998,"Voyager","The Killing Game",7.8,1414
"556",1998,"Voyager","Once Upon A Time",6.3,1287
"557",1999,"Voyager","Juggernaut",6.9,1166
"558",2000,"Voyager","Collective",7.4,1258
"559",2000,"Voyager","Spirit Folk",6.3,1266
"560",2000,"Voyager","Good Shepherd",7.3,1248
"561",2000,"Voyager","Nightingale",6.7,1124
"562",2001,"Voyager","Friendship One",7.2,1162
"563",2001,"Voyager","Natural Law",7.2,1154
"564",1966,"The Original Series","What Are Little Girls Made Of?",7.5,3251
"565",1966,"The Original Series","Shore Leave",7.5,3117
"566",1967,"The Original Series","Friday's Child",6.9,2374
"567",1968,"The Original Series","A Piece of the Action",7.8,2672
"568",1968,"The Original Series","The Omega Glory",6.2,2378
"569",1969,"The Original Series","The Lights of Zetar",6.2,1979
"570",1987,"The Next Generation","The Last Outpost",6.3,3042
"571",1989,"The Next Generation","Manhunt",6.1,2374
"572",1993,"The Next Generation","Aquiel",6.1,2007
"573",1994,"The Next Generation","Genesis",7.2,2158
"574",1993,"Deep Space Nine","Move Along Home",6,1791
"575",1993,"Deep Space Nine","The Nagus",7.1,1639
"576",1995,"Deep Space Nine","Prophet Motive",6.9,1350
"577",1998,"Deep Space Nine","Who Mourns For Morn?",7.7,1429
"578",1998,"Deep Space Nine","Chrysalis",7.1,1329
"579",1995,"Voyager","Elogium",6,1408
"580",2000,"Voyager","Fury",6.3,1250
"581",1967,"The Original Series","The Squire of Gothos",7.3,2914
"582",1967,"The Original Series","The Apple",6.4,2466
"583",1969,"The Original Series","That Which Survives",6.6,2011
"584",1969,"The Original Series","The Way to Eden",5.5,2373
"585",1987,"The Next Generation","Code of Honor",5.2,3258
